Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
Rek'Sai,34,44.20%,16,18,12,8,10,44.40%,1.44,2.5,7.06,3.4,168.44,4.49,13.1,350,66.20%,11.30%,19.60%,
,,,,,,,,,,,,,,,,,,,,
Aurelion Sol,32,41.60%,20,12,10,8,4,66.70%,4.92,2.5,6.67,4.63,286.08,7.58,14.6,387,76.80%,32.60%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Sivir,31,40.30%,11,20,11,10,10,50%,2.3,1.65,5.85,4.94,354.95,9.91,15.1,421,64.20%,18.10%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Gnar,30,39%,12,18,12,7,11,38.90%,2.06,2.61,4.06,2.34,290.61,7.82,13.6,367,47.80%,16.10%,20.80%,
,,,,,,,,,,,,,,,,,,,,
Viktor,29,37.70%,6,23,8,13,10,56.50%,3.7,2.39,3.61,3.05,366.7,9.29,16.4,416,59.20%,29.90%,22.80%,
,,,,,,,,,,,,,,,,,,,,
Alistar,28,36.40%,5,23,16,15,8,65.20%,0.61,2.61,8.48,3.48,38,1,9.8,258,71.30%,4.80%,14.20%,
,,,,,,,,,,,,,,,,,,,,
Cassiopeia,28,36.40%,6,22,10,8,14,36.40%,3.05,2.73,3.82,2.52,301.27,8.36,13.7,380,62.10%,27.60%,21.80%,
,,,,,,,,,,,,,,,,,,,,
Zyra,27,35.10%,5,22,5,14,8,63.60%,1.45,2.77,6.73,2.95,34.23,0.89,11,287,56.30%,10%,15.40%,
,,,,,,,,,,,,,,,,,,,,
Vladimir,27,35.10%,12,15,9,7,8,46.70%,3.33,1.8,4.67,4.44,306.53,7.98,14.1,368,64.90%,27%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Nami,26,33.80%,2,24,12,10,14,41.70%,0.71,2.42,10.33,4.57,22.63,0.56,10.4,257,81%,5.20%,14.40%,
,,,,,,,,,,,,,,,,,,,,
Tahm Kench,23,29.90%,12,11,7,6,5,54.50%,1.45,2.73,7.09,3.13,50.55,1.28,10.6,269,60.30%,10.30%,14.90%,
,,,,,,,,,,,,,,,,,,,,
Bard,17,22.10%,5,12,5,3,9,25%,1,3.92,5.92,1.77,23.08,0.66,8.8,251,64.30%,9.30%,15.10%,
,,,,,,,,,,,,,,,,,,,,
Braum,16,20.80%,-,16,12,6,10,37.50%,0.63,2.38,5.94,2.76,43.75,1.19,9.1,249,61.40%,5.80%,14.30%,
,,,,,,,,,,,,,,,,,,,,
Ashe,15,19.50%,4,11,5,7,4,63.60%,3,2.36,5.55,3.62,385.55,9.33,17.5,424,64.80%,22.80%,22.80%,
,,,,,,,,,,,,,,,,,,,,
Lucian,14,18.20%,1,13,7,7,6,53.80%,4.46,1.77,2.92,4.17,351.46,9.15,16,416,58.90%,35.60%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Malzahar,14,18.20%,3,11,8,5,6,45.50%,3.91,3.18,5.18,2.86,296.64,7.72,14.4,376,69%,29.70%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Orianna,13,16.90%,-,13,6,5,8,38.50%,3.08,2.69,3.54,2.46,422.54,9.45,18.2,407,65.20%,30.30%,23.10%,
,,,,,,,,,,,,,,,,,,,,
Trundle,12,15.60%,1,11,6,6,5,54.50%,2.18,2,5,3.59,376.27,8.27,17.4,383,58.50%,17.80%,21%,
,,,,,,,,,,,,,,,,,,,,
Ekko,11,14.30%,1,10,5,5,5,50%,3,2.3,4.3,3.17,296.1,8.24,13.8,384,61.30%,25.20%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Brand,9,11.70%,8,1,1,1,0,100%,3,1,4,7,32,0.79,12.7,314,70%,30%,16.80%,
,,,,,,,,,,,,,,,,,,,,
Varus,8,10.40%,3,5,4,3,2,60%,2.6,2,4.6,3.6,414.8,8.64,18.9,393,64.30%,23.20%,22.10%,
,,,,,,,,,,,,,,,,,,,,
Zac,8,10.40%,4,4,3,2,2,50%,2.5,2.25,5.75,3.67,191.75,4.35,15.3,348,67.30%,20.40%,19.20%,
,,,,,,,,,,,,,,,,,,,,
Graves,7,9.10%,-,7,5,3,4,42.90%,2.29,2.57,5.86,3.17,171.57,5.09,12.1,360,64.80%,18.20%,20.80%,
,,,,,,,,,,,,,,,,,,,,
Skarner,7,9.10%,1,6,5,4,2,66.70%,1.83,2.17,7.17,4.15,147.67,3.82,13.3,344,67.50%,13.80%,18.90%,
,,,,,,,,,,,,,,,,,,,,
Miss Fortune,7,9.10%,4,3,2,3,0,100%,2,3,8.33,3.44,50.33,1.35,12.4,332,58.50%,11.30%,16.30%,
,,,,,,,,,,,,,,,,,,,,
Irelia,6,7.80%,1,5,4,3,2,60%,4.4,4,2.4,1.7,281.6,7.99,13.9,394,52.30%,33.80%,21.50%,
,,,,,,,,,,,,,,,,,,,,
Twisted Fate,6,7.80%,5,1,1,0,1,0%,0,6,5,0.83,374,7.97,17.9,382,71.40%,0.00%,22%,
,,,,,,,,,,,,,,,,,,,,
Jinx,5,6.50%,-,5,3,2,3,40%,2.4,1.6,4.2,4.13,361,9.58,15.3,406,63.50%,23.10%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Zilean,4,5.20%,-,4,4,1,3,25%,2.75,3.75,4.75,2,356,8.68,15.5,377,57.70%,21.20%,22.10%,
,,,,,,,,,,,,,,,,,,,,
Kassadin,4,5.20%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Hecarim,3,3.90%,-,3,2,2,1,66.70%,2,1.33,6.33,6.25,145.67,4.19,12.1,347,75.80%,18.20%,19.70%,
,,,,,,,,,,,,,,,,,,,,
Lissandra,3,3.90%,-,3,2,2,1,66.70%,3.33,3.33,5.33,2.6,318.33,8.68,14.5,395,65%,25%,21%,
,,,,,,,,,,,,,,,,,,,,
Soraka,3,3.90%,1,2,2,1,1,50%,0.5,3,10.5,3.67,23,0.54,10.9,257,88%,4%,14.60%,
,,,,,,,,,,,,,,,,,,,,
Maokai,2,2.60%,-,2,2,1,1,50%,2.5,2.5,11.5,5.6,281,7.28,13.7,353,77.80%,13.90%,19.30%,
,,,,,,,,,,,,,,,,,,,,
Anivia,2,2.60%,1,1,1,1,0,100%,2,2,5,3.5,302,7.48,15.6,386,70%,20%,20.60%,
,,,,,,,,,,,,,,,,,,,,
Shen,2,2.60%,1,1,1,0,1,0%,3,4,6,2.25,174,6.3,8.9,322,75%,25%,22%,
,,,,,,,,,,,,,,,,,,,,
Nocturne,1,1.30%,-,1,1,1,0,100%,3,2,11,7,166,3.8,16.4,376,73.70%,15.80%,19.40%,
,,,,,,,,,,,,,,,,,,,,
Taric,1,1.30%,-,1,1,1,0,100%,0,7,9,1.29,134,2.02,19.5,294,56.30%,0%,16.30%,
,,,,,,,,,,,,,,,,,,,,
Fiora,1,1.30%,-,1,1,0,1,0%,5,7,5,1.43,263,7.56,13.4,385,66.70%,33.30%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Kha'Zix,1,1.30%,-,1,1,0,1,0%,4,4,3,1.75,164,3.61,14.5,319,70%,40%,20.10%,
,,,,,,,,,,,,,,,,,,,,
Kindred,1,1.30%,-,1,1,0,1,0%,2,5,0,0.4,123,3.91,9.6,305,66.70%,66.70%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Kled,1,1.30%,-,1,1,0,1,0%,1,6,6,1.17,244,7.18,11,324,50%,7.10%,20.10%,
,,,,,,,,,,,,,,,,,,,,
Nautilus,1,1.30%,-,1,1,0,1,0%,1,4,7,2,315,6.93,14.6,321,80%,10%,20.20%,
,,,,,,,,,,,,,,,,,,,,
Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
,,,,,,,,,,,,,,,,,,,,
Kalista,80,100%,80,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Sejuani,79,98.80%,35,44,17,22,22,50%,1.41,1.77,6.05,4.21,149.32,4.05,11.9,323,77.20%,14.60%,17.60%,
,,,,,,,,,,,,,,,,,,,,
Jarvan IV,79,98.80%,37,42,16,22,20,52.40%,1.55,2.4,6.55,3.37,158.93,4.5,11.5,324,79.60%,15.20%,17.70%,
,,,,,,,,,,,,,,,,,,,,
Janna,76,95%,32,44,14,31,13,70.50%,0.3,0.93,8.36,9.29,27.59,0.76,12.1,331,83.70%,2.90%,17.50%,
,,,,,,,,,,,,,,,,,,,,
Lulu,75,93.80%,28,47,17,19,28,40.40%,0.38,1.55,5.79,3.97,26.38,0.72,11,301,74.60%,4.60%,16.70%,
,,,,,,,,,,,,,,,,,,,,
Galio,73,91.30%,52,21,10,14,7,66.70%,1.76,1.52,7.52,6.09,276.38,8.22,12.7,379,79.60%,15.10%,19.90%,
,,,,,,,,,,,,,,,,,,,,
Xayah,69,86.30%,44,25,13,13,12,52%,3.08,1.28,4.48,5.91,363.52,10.05,15.8,438,75.60%,30.80%,23.80%,
,,,,,,,,,,,,,,,,,,,,
Cho'Gath,62,77.50%,21,41,17,21,20,51.20%,2.05,2.2,4.15,2.82,288.02,7.64,13.4,357,66.80%,22.10%,19.50%,
,,,,,,,,,,,,,,,,,,,,
Tristana,61,76.30%,16,45,15,22,23,48.90%,3.2,1.64,2.87,3.69,353.69,10.06,15.3,436,73.40%,38.70%,24.10%,
,,,,,,,,,,,,,,,,,,,,
Gragas,58,72.50%,22,36,15,23,13,63.90%,0.92,1.97,5.39,3.2,136.11,3.76,11.3,311,69.20%,10.10%,16.90%,
,,,,,,,,,,,,,,,,,,,,
Rakan,54,67.50%,34,20,12,11,9,55%,0.55,2.1,7.9,4.02,25.55,0.74,10.6,304,80.90%,5.30%,16.50%,
,,,,,,,,,,,,,,,,,,,,
Syndra,51,63.70%,28,23,13,10,13,43.50%,2.26,1.96,3.83,3.11,342.87,9.29,14.6,396,70.40%,26.10%,21.90%,
,,,,,,,,,,,,,,,,,,,,
Shen,51,63.70%,29,22,11,11,11,50%,1.77,1.64,5.64,4.53,324.09,8.55,14.2,375,75.50%,18.10%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Kog'Maw,49,61.30%,22,27,14,12,15,44.40%,3.44,2.22,3.04,2.92,349.7,9.48,15.6,423,71.70%,38.10%,23.40%,
,,,,,,,,,,,,,,,,,,,,
Jayce,47,58.80%,36,11,7,7,4,63.60%,2.91,1.73,3.27,3.58,313.64,9.23,13.9,409,66%,31.10%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Ryze,43,53.80%,15,28,13,9,19,32.10%,2.36,1.64,3,3.26,320.71,9.5,13.4,398,68.20%,30%,22.40%,
,,,,,,,,,,,,,,,,,,,,
Gnar,41,51.20%,25,16,9,12,4,75%,2.44,1.94,4.13,3.39,315.25,8.45,14.8,398,69.50%,25.80%,21.10%,
,,,,,,,,,,,,,,,,,,,,
Taliyah,40,50%,24,16,8,9,7,56.30%,3,1.44,4.13,4.96,344.88,9.25,15.2,407,72.60%,30.60%,22.10%,
,,,,,,,,,,,,,,,,,,,,
Maokai,32,40%,6,26,14,7,19,26.90%,0.54,2.54,3.69,1.67,233.27,6.96,10.8,323,56.10%,7.10%,18.60%,
,,,,,,,,,,,,,,,,,,,,
Orianna,32,40%,19,13,8,6,7,46.20%,2.31,2.08,5.69,3.85,332.15,9.11,14.5,398,81.90%,23.60%,22%,
,,,,,,,,,,,,,,,,,,,,
Twitch,31,38.80%,9,22,9,13,9,59.10%,4.18,1.59,3.32,4.71,343.27,9.58,15.5,433,77.50%,43.20%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Varus,29,36.30%,6,23,9,10,13,43.50%,2.65,1.74,4.22,3.95,364.57,9.95,15.5,422,71.20%,27.50%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Cassiopeia,29,36.30%,20,9,6,4,5,44.40%,1.89,1.67,4.33,3.73,316.11,9.04,13.5,385,82.40%,25%,21.90%,
,,,,,,,,,,,,,,,,,,,,
LeBlanc,27,33.80%,23,4,4,3,1,75%,5,1,3.25,8.25,262.5,7.8,13.4,397,82.50%,50%,21.50%,
,,,,,,,,,,,,,,,,,,,,
Trundle,22,27.50%,11,11,9,6,5,54.50%,1.36,1.27,6,5.79,331.18,8.97,14.5,392,77.10%,14.30%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Ezreal,22,27.50%,16,6,3,2,4,33.30%,1.67,2,4.83,3.25,162.83,4.56,12,335,79.60%,20.40%,18.60%,
,,,,,,,,,,,,,,,,,,,,
Taric,20,25%,2,18,8,7,11,38.90%,0.17,1.39,6.28,4.64,31.56,0.96,9.1,279,83.50%,2.20%,15.70%,
,,,,,,,,,,,,,,,,,,,,
Corki,19,23.80%,3,16,10,7,9,43.80%,2,1.75,4.06,3.46,374.06,10.01,15.8,422,78.20%,25.80%,23.60%,
,,,,,,,,,,,,,,,,,,,,
Caitlyn,19,23.80%,10,9,4,6,3,66.70%,3.33,1,4.67,8,316.78,9.85,14.1,439,69.20%,28.80%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Rek'Sai,18,22.50%,7,11,7,4,7,36.40%,2.36,2.45,4.18,2.67,168.91,4.8,11.6,330,71.30%,25.70%,18.20%,
,,,,,,,,,,,,,,,,,,,,
Malzahar,17,21.30%,7,10,3,9,1,90%,2.7,2.3,5.2,3.43,318.2,8.57,15.2,409,64.80%,22.10%,21.10%,
,,,,,,,,,,,,,,,,,,,,
Lucian,17,21.30%,12,5,3,1,4,20%,2.8,3.6,5.2,2.22,361,8.81,16.4,399,80%,28%,22.40%,
,,,,,,,,,,,,,,,,,,,,
Rumble,15,18.80%,8,7,4,3,4,42.90%,2.14,2.29,4,2.69,237.43,7.56,10.9,347,63.20%,22.10%,19.30%,
,,,,,,,,,,,,,,,,,,,,
Karma,14,17.50%,3,11,8,3,8,27.30%,0.45,2.45,4.45,2,90.36,2.76,10,306,66.70%,6.20%,17.80%,
,,,,,,,,,,,,,,,,,,,,
Kassadin,14,17.50%,10,4,4,2,2,50%,2.25,2,3.5,2.88,284.25,9.24,12.3,400,56.10%,22%,21.80%,
,,,,,,,,,,,,,,,,,,,,
Renekton,9,11.30%,6,3,3,1,2,33.30%,3.67,2.33,2.33,2.57,287.33,8.48,13.8,406,56.30%,34.40%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Kha'Zix,7,8.80%,4,3,2,3,0,100%,2.33,2.33,7,4,187,5.18,13.5,375,71.80%,17.90%,18.70%,
,,,,,,,,,,,,,,,,,,,,
Thresh,7,8.80%,4,3,2,1,2,33.30%,1,1.67,7,4.8,35,0.85,10.9,267,77.40%,9.70%,15.40%,
,,,,,,,,,,,,,,,,,,,,
Blitzcrank,6,7.50%,3,3,2,1,2,33.30%,0.67,3,5.67,2.11,35,1,9,258,73.10%,7.70%,14.70%,
,,,,,,,,,,,,,,,,,,,,
Soraka,5,6.30%,1,4,1,3,1,75%,0.25,2,5.5,2.88,20.5,0.51,11.5,286,74.20%,3.20%,15.60%,
,,,,,,,,,,,,,,,,,,,,
Kennen,5,6.30%,1,4,2,2,2,50%,2.25,2.75,3.75,2.18,293.5,8.29,13.4,379,70.60%,26.50%,20.80%,
,,,,,,,,,,,,,,,,,,,,
Vayne,5,6.30%,1,4,3,2,2,50%,4.5,1,3.5,8,339.5,10.06,15.4,455,72.70%,40.90%,24.70%,
,,,,,,,,,,,,,,,,,,,,
Zac,5,6.30%,1,4,3,1,3,25%,0.75,2.75,3.75,1.64,138.5,3.85,10.6,295,85.70%,14.30%,16.90%,
,,,,,,,,,,,,,,,,,,,,
Ivern,5,6.30%,3,2,2,1,1,50%,0.5,2.5,7.5,3.2,90.5,2.65,10.9,319,61.50%,3.80%,17.20%,
,,,,,,,,,,,,,,,,,,,,
Fizz,4,5%,-,4,2,3,1,75%,2.5,1.25,4,5.2,275.25,7.86,13.2,375,76.50%,29.40%,20.60%,
,,,,,,,,,,,,,,,,,,,,
Lee Sin,4,5%,-,4,3,2,2,50%,1.25,2.5,4.25,2.2,139.5,3.56,12.1,308,73.30%,16.70%,16.90%,
,,,,,,,,,,,,,,,,,,,,
Leona,4,5%,1,3,2,2,1,66.70%,2,2.33,8.67,4.57,55.33,1.49,10.9,292,65.30%,12.20%,15.10%,
,,,,,,,,,,,,,,,,,,,,
Kayn,4,5%,1,3,1,1,2,33.30%,2.33,2.33,2.67,2.14,211,6.19,11.6,341,62.50%,29.20%,19.20%,
,,,,,,,,,,,,,,,,,,,,
Sivir,4,5%,1,3,2,1,2,33.30%,2.67,2.67,3,2.13,478,11.58,18.9,458,53.10%,25%,25.20%,
,,,,,,,,,,,,,,,,,,,,
Singed,4,5%,2,2,1,2,0,100%,1,1.5,6,4.67,239,8.39,11.2,393,50%,7.10%,19.50%,
,,,,,,,,,,,,,,,,,,,,
Elise,4,5%,2,2,1,1,1,50%,1.5,1.5,5,4.33,153.5,4.56,11.3,336,41.90%,9.70%,17.30%,
,,,,,,,,,,,,,,,,,,,,
Nocturne,4,5%,2,2,2,1,1,50%,3,4,4,1.75,166.5,6.06,9.9,362,50%,21.40%,20.40%,
,,,,,,,,,,,,,,,,,,,,
Alistar,4,5%,2,2,2,0,2,0%,0,2.5,3,1.2,28.5,0.88,7.8,238,54.50%,0%,14.50%,
,,,,,,,,,,,,,,,,,,,,
Nidalee,4,5%,3,1,1,0,1,0%,2,3,1,1,219,5.65,12.5,323,100%,66.70%,19%,
,,,,,,,,,,,,,,,,,,,,
Nautilus,3,3.80%,-,3,2,2,1,66.70%,0.67,2,4.33,2.5,235.67,7.36,10.9,339,60%,8%,18.50%,
,,,,,,,,,,,,,,,,,,,,
Camille,3,3.80%,-,3,2,1,2,33.30%,2.33,1.67,1,2,259,8.95,11.7,404,40%,28%,22.60%,
,,,,,,,,,,,,,,,,,,,,
Yasuo,3,3.80%,-,3,3,1,2,33.30%,2.67,3,4.67,2.44,403.67,9.54,16.7,394,66.70%,24.20%,21.90%,
,,,,,,,,,,,,,,,,,,,,
Graves,3,3.80%,1,2,1,1,1,50%,1.5,3,4.5,2,206,5.6,13.1,355,66.70%,16.70%,19%,
,,,,,,,,,,,,,,,,,,,,
Urgot,3,3.80%,1,2,1,1,1,50%,2,4,2,1,254,8.14,11.5,368,44.40%,22.20%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Morgana,2,2.50%,-,2,2,0,2,0%,1.5,2.5,13,5.8,20,0.47,13.8,325,78.40%,8.10%,17.50%,
,,,,,,,,,,,,,,,,,,,,
Braum,2,2.50%,1,1,1,1,0,100%,0,1,13,13,63,1.68,10.5,280,81.30%,0%,14.40%,
,,,,,,,,,,,,,,,,,,,,
Nasus,2,2.50%,1,1,1,1,0,100%,2,0,0,2,205,9.82,9.4,450,40%,40%,22.90%,
,,,,,,,,,,,,,,,,,,,,
Jax,2,2.50%,1,1,1,0,1,0%,3,4,4,1.75,358,8.04,16.3,366,46.70%,20%,21.10%,
,,,,,,,,,,,,,,,,,,,,
Vladimir,2,2.50%,1,1,1,0,1,0%,1,1,5,6,306,9.44,11.3,349,75%,12.50%,21.60%,
,,,,,,,,,,,,,,,,,,,,
Sion,2,2.50%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Ashe,1,1.30%,-,1,1,1,0,100%,5,0,3,8,308,9.63,15,469,53.30%,33.30%,22.40%,
,,,,,,,,,,,,,,,,,,,,
Lissandra,1,1.30%,-,1,1,1,0,100%,3,1,6,9,366,10.79,15.9,469,81.80%,27.30%,23.30%,
,,,,,,,,,,,,,,,,,,,,
Tahm Kench,1,1.30%,-,1,1,1,0,100%,1,1,0,1,61,1.61,10.1,267,16.70%,16.70%,14.60%,
,,,,,,,,,,,,,,,,,,,,
Aurelion Sol,1,1.30%,-,1,1,0,1,0%,3,4,7,2.5,512,9.45,22,406,90.90%,27.30%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Ekko,1,1.30%,-,1,1,0,1,0%,3,2,3,3,462,9.62,20.5,427,75%,37.50%,23%,
,,,,,,,,,,,,,,,,,,,,
Gangplank,1,1.30%,-,1,1,0,1,0%,2,4,4,1.5,373,9.63,17.6,455,85.70%,28.60%,27.10%,
,,,,,,,,,,,,,,,,,,,,
Jinx,1,1.30%,-,1,1,0,1,0%,0,2,0,0,533,11.39,19.3,413,-nan%,-nan%,25.40%,
,,,,,,,,,,,,,,,,,,,,
Mordekaiser,1,1.30%,-,1,1,0,1,0%,0,8,0,0,140,5.84,6.4,267,0%,0%,19.30%,
,,,,,,,,,,,,,,,,,,,,
Nami,1,1.30%,-,1,1,0,1,0%,1,2,6,3.5,22,0.49,12.6,278,100%,14.30%,16.70%,
,,,,,,,,,,,,,,,,,,,,
Rengar,1,1.30%,-,1,1,0,1,0%,6,6,1,1.17,274,5.71,16.6,346,43.80%,37.50%,19.20%,
,,,,,,,,,,,,,,,,,,,,
Sona,1,1.30%,-,1,1,0,1,0%,0,4,5,1.25,38,1.19,9.4,295,71.40%,0%,17.60%,
,,,,,,,,,,,,,,,,,,,,
Zilean,1,1.30%,-,1,1,0,1,0%,2,5,12,2.8,34,0.71,14.4,300,87.50%,12.50%,16.70%,
,,,,,,,,,,,,,,,,,,,,
Bard,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Twisted Fate,1,1.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
,,,,,,,,,,,,,,,,,,,,
Aatrox,76,98.70%,45,31,17,17,14,54.80%,2.1,2.48,4.42,2.62,285.19,9.03,12.3,390,52.10%,16.80%,21.60%,
,,,,,,,,,,,,,,,,,,,,
Ahri,1,1.30%,-,1,1,1,0,100%,3,3,7,3.33,267,8.97,12.4,418,71.40%,21.40%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Akali,62,80.50%,51,11,8,8,3,72.70%,4.55,2.27,4.55,4,323.45,8.69,14.6,393,61%,30.50%,21.80%,
,,,,,,,,,,,,,,,,,,,,
Alistar,75,97.40%,47,28,12,15,13,53.60%,0.5,2.18,6.32,3.13,48.36,1.52,7.4,231,65%,4.80%,13.10%,
,,,,,,,,,,,,,,,,,,,,
Ashe,1,1.30%,-,1,1,0,1,0%,2,2,8,5,440,10,17.8,404,55.60%,11.10%,23.80%,
,,,,,,,,,,,,,,,,,,,,
Azir,7,9.10%,1,6,4,3,3,50%,2.83,1.5,4.67,5,329.83,9.98,13.8,417,73.80%,27.90%,23.90%,
,,,,,,,,,,,,,,,,,,,,
Bard,1,1.30%,-,1,1,0,1,0%,1,2,2,1.5,26,0.8,6.9,213,75%,25%,14.40%,
,,,,,,,,,,,,,,,,,,,,
Brand,1,1.30%,-,1,1,0,1,0%,5,5,7,2.4,376,8.61,18.3,420,66.70%,27.80%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Braum,30,39%,6,24,9,13,11,54.20%,0.38,2.04,7.54,3.88,59.5,1.91,7.7,248,71.70%,3.40%,13.80%,
,,,,,,,,,,,,,,,,,,,,
Camille,42,54.50%,25,17,9,8,9,47.10%,2.41,2.88,4.29,2.33,214.76,6.81,11.6,367,64.80%,23.30%,20.40%,
,,,,,,,,,,,,,,,,,,,,
Cassiopeia,3,3.90%,-,3,2,0,3,0%,1.67,1.67,0.33,1.2,350.33,10.2,13.2,384,60%,50%,23.80%,
,,,,,,,,,,,,,,,,,,,,
Cho'Gath,3,3.90%,-,3,3,1,2,33.30%,2,2.33,3,2.14,262,7.48,11.6,330,55.60%,22.20%,20%,
,,,,,,,,,,,,,,,,,,,,
Darius,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Draven,8,10.40%,6,2,1,1,1,50%,4.5,1.5,5.5,6.67,317.5,9.75,15.7,483,95.20%,42.90%,27.40%,
,,,,,,,,,,,,,,,,,,,,
Ekko,5,6.50%,1,4,2,1,3,25%,3.75,4.5,2.75,1.44,293.75,8.57,13.2,385,66.70%,38.50%,22.60%,
,,,,,,,,,,,,,,,,,,,,
Elise,1,1.30%,-,1,1,0,1,0%,0,2,4,2,107,3.91,6.7,246,100%,0%,17.40%,
,,,,,,,,,,,,,,,,,,,,
Evelynn,1,1.30%,-,1,1,0,1,0%,0,1,2,2,129,5.13,7,279,66.70%,0%,19%,
,,,,,,,,,,,,,,,,,,,,
Ezreal,9,11.70%,1,8,4,3,5,37.50%,2.38,2.25,4.38,3,319.25,9.98,13.4,418,58.70%,20.70%,24.20%,
,,,,,,,,,,,,,,,,,,,,
Fiora,2,2.60%,-,2,1,0,2,0%,3,1.5,1.5,3,361,10.34,15.3,438,52.90%,35.30%,25.20%,
,,,,,,,,,,,,,,,,,,,,
Galio,38,49.40%,17,21,10,10,11,47.60%,2.24,2.14,4.71,3.24,273.14,8.68,11.7,371,66.40%,21.40%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Gangplank,3,3.90%,1,2,2,1,1,50%,2.5,1.5,7,6.33,306.5,9.43,15.7,483,52.80%,13.90%,25.70%,
,,,,,,,,,,,,,,,,,,,,
Gragas,41,53.20%,9,32,18,13,19,40.60%,1.41,2.75,6.22,2.77,118.38,3.47,9.6,281,69.10%,12.70%,16.10%,
,,,,,,,,,,,,,,,,,,,,
Graves,4,5.20%,-,4,3,1,3,25%,3.25,1.75,2.25,3.14,175.75,6.02,10.2,351,88%,52%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Hecarim,2,2.60%,1,1,1,1,0,100%,5,2,3,4,342,9.37,16.2,444,61.50%,38.50%,23%,
,,,,,,,,,,,,,,,,,,,,
Heimerdinger,15,19.50%,13,2,1,2,0,100%,2,0,5,14,355,10.25,15.4,444,73.70%,21.10%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Irelia,64,83.10%,40,24,13,14,10,58.30%,3.63,2.96,4.42,2.72,283.96,9.31,12.7,417,65%,29.30%,22.90%,
,,,,,,,,,,,,,,,,,,,,
Jarvan IV,3,3.90%,-,3,3,1,2,33.30%,2.33,3.67,8.33,2.91,164,4.85,11.2,331,94.10%,20.60%,18.80%,
,,,,,,,,,,,,,,,,,,,,
Jax,4,5.20%,2,2,2,1,1,50%,1.5,2.5,5.5,2.8,247.5,8.33,11.6,389,58.30%,12.50%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Jayce,13,16.90%,8,5,5,3,2,60%,3.2,3.2,4.2,2.31,317,9.33,14.2,419,60.70%,26.20%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Jhin,11,14.30%,5,6,2,2,4,33.30%,1.33,1.5,3.83,3.44,345.67,10.57,13.4,408,62%,16%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Kai'Sa,62,80.50%,19,43,15,21,22,48.80%,3.88,1.84,4.09,4.34,324.49,10.17,13.9,437,72.40%,35.20%,24.80%,
,,,,,,,,,,,,,,,,,,,,
Kalista,2,2.60%,-,2,2,1,1,50%,2.5,2.5,6.5,3.6,268,9.45,11.2,396,64.30%,17.90%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Kassadin,1,1.30%,-,1,1,0,1,0%,0,3,1,0.33,204,7.22,8.3,293,20%,0%,19.60%,
,,,,,,,,,,,,,,,,,,,,
Kindred,23,29.90%,17,6,4,2,4,33.30%,1.33,3.33,5,1.9,176.67,5.48,10.6,329,69.10%,14.50%,19.20%,
,,,,,,,,,,,,,,,,,,,,
Kled,1,1.30%,-,1,1,1,0,100%,2,1,7,9,234,8.56,10.8,394,45%,10%,19.50%,
,,,,,,,,,,,,,,,,,,,,
